Date,Open,High,Low,Close,Volume
2023-04-14,72.887,73.4896,72.254,72.892,13259337
2023-04-17,72.9849,73.3184,72.5875,73.1566,8469721
2023-04-18,73.7153,73.912,73.0633,73.3823,9394180
2023-04-19,72.7203,73.3084,72.6224,73.1711,8792736
2023-04-20,72.4991,73.4117,72.3673,72.6908,11640685
2023-04-21,72.3723,72.586,71.9854,72.4557,12478331
2023-04-24,72.1661,72.5191,71.5975,72.1372,9258439
2023-04-25,71.7832,71.921,70.5725,70.597,11239341
2023-04-26,71.8381,72.3873,71.4752,71.6469,13870826
2023-04-27,71.9854,73.2185,71.8082,73.1661,12322344
2023-04-28,73.1661,73.9754,73.0882,73.9609,12023759
2023-05-01,73.902,74.3623,73.7847,74.0053,8355472
2023-05-02,74.0937,74.1761,72.931,73.3134,12295936
2023-05-03,73.4017,73.877,72.6619,72.6953,11858837
2023-05-04,72.4068,72.8386,72.0483,72.3478,11074426
2023-05-05,73.0483,74.4122,72.9454,74.1611,12470427
2023-05-08,74.0203,74.1861,73.6663,74.1227,6929283
2023-05-09,73.7153,73.8531,73.4756,73.554,12718616
2023-05-10,74.196,74.6229,73.7303,74.4512,10759259
2023-05-11,74.3293,74.3293,73.6029,74.1177,9133180
2023-05-12,74.2455,74.3533,73.4462,74.0203,8063419
2023-05-15,74.0937,74.6474,73.8266,74.6329,6930543
2023-05-16,74.5295,75.1181,74.5056,74.7118,9583241
2023-05-17,75.0253,75.8346,74.6793,75.7068,12150882
2023-05-18,75.7996,77.3687,75.7996,77.2569,15795751
2023-05-19,77.2764,77.4082,76.9574,77.222,9997861
2023-05-22,76.9918,77.5689,76.864,77.3687,11006382
2023-05-23,76.9818,77.2993,76.1965,76.226,11920785
2023-05-24,75.6234,75.9719,75.2554,75.6678,11140289
2023-05-25,77.6778,78.8794,77.2714,78.5704,18433395
2023-05-26,78.7711,80.9433,78.7616,80.802,15458028
2023-05-30,81.9882,82.3996,81.0616,81.2324,18479985
2023-05-31,80.7671,81.5274,80.5125,80.5569,19680461
2023-06-01,80.3013,81.7191,80.0412,81.3762,17761907
2023-06-02,81.8549,82.2184,81.2618,81.8405,14551088
2023-06-05,81.792,82.3362,81.2264,81.3712,11123457
2023-06-06,81.174,81.5274,80.7671,81.3512,10171776
2023-06-07,81.1934,81.826,79.9683,80.1345,13973163
2023-06-08,80.2524,81.1285,80.1965,81.0022,10877156
2023-06-09,81.3956,82.2384,81.1305,81.4056,14698961
2023-06-12,81.9643,83.2074,81.797,83.1749,14063179
2023-06-13,83.9158,84.0776,83.0032,83.6802,16922140
2023-06-14,83.5818,84.5718,83.2923,84.5419,17098700
2023-06-15,84.1994,86.0141,84.1809,85.6317,18081280
2023-06-16,86.446,86.451,84.8419,84.9248,17708081
2023-06-20,84.4405,84.9602,83.8993,84.3517,14387026
2023-06-21,84.0266,84.1899,82.8574,83.1025,12269305
2023-06-22,82.7291,83.8155,82.7146,83.781,15492072
2023-06-23,82.7491,83.3607,82.5239,82.8724,14987116
2023-06-26,82.9468,83.6732,82.2184,82.2778,11081171
2023-06-27,82.6068,84.091,82.5289,83.8993,14075399
2023-06-28,83.432,84.4011,83.3681,83.9483,11571033
2023-06-29,84.0366,84.2473,83.5893,84.096,9288313
2023-06-30,84.9308,85.6492,84.8674,85.4315,11598262
2023-07-03,85.4165,85.4565,84.8184,85.2508,6290575
2023-07-05,84.6562,85.3586,84.5818,84.7251,9561119
2023-07-06,83.8899,84.5768,83.6312,84.4984,12328824
2023-07-07,84.3616,85.1464,84.0816,84.131,11826256
2023-07-10,83.8255,84.3566,83.5069,84.3517,17172962
2023-07-11,84.5274,84.6267,83.7076,84.5324,10172616
2023-07-12,85.3781,85.8918,84.9113,85.4914,16386882
2023-07-13,86.0755,86.794,85.9043,86.6067,9513116
2023-07-14,86.8234,87.5014,86.2293,86.4789,11746188
