Date,Open,High,Low,Close,Volume
2023-01-12,40.0537,40.8352,39.9769,40.5731,40640588
2023-01-13,40.5416,40.7292,40.1124,40.632,35208254
2023-01-17,40.7268,41.1425,40.5507,40.7177,37560259
2023-01-18,40.9075,41.3637,39.9318,39.9723,42145095
2023-01-19,39.742,40.632,39.6562,40.4694,37959321
2023-01-20,40.5551,41.0114,40.1442,40.8714,31612796
2023-01-23,41.1694,41.3727,40.7945,40.9255,32437458
2023-01-24,40.79,40.8623,39.9589,40.7674,32955261
2023-01-25,40.5688,40.7719,39.9227,40.7719,29732385
2023-01-26,41.4314,42.0775,40.9255,42.0594,40581856
2023-01-27,41.8336,42.0413,41.1425,41.2101,38565185
2023-01-30,40.9119,40.9707,40.2095,40.266,30466998
2023-01-31,40.1305,40.6838,39.7195,40.6229,30824928
2023-02-01,40.4331,40.6048,39.2994,39.8233,51987435
2023-02-02,39.6698,39.7466,38.4863,38.9155,55126371
2023-02-03,39.0781,39.7104,38.789,38.8296,50313406
2023-02-06,38.8657,39.1593,38.1768,38.6535,35104231
2023-02-07,38.8974,39.9679,38.6941,39.9092,45397952
2023-02-08,39.8777,40.0808,39.3242,39.5522,29849633
2023-02-09,39.5568,39.6833,39.1842,39.2135,35586804
2023-02-10,39.864,40.8307,39.8279,40.7494,44279133
2023-02-13,40.5416,40.8014,40.1216,40.6455,27389831
2023-02-14,40.3248,40.9549,40.2118,40.659,29911010
2023-02-15,40.2029,40.2886,39.4574,39.9679,35358712
2023-02-16,39.7511,40.0922,39.5343,39.5749,28019962
2023-02-17,38.9606,38.9876,37.9985,38.1656,49456287
2023-02-21,37.9985,38.414,37.9036,37.9759,37216415
2023-02-22,37.8719,38.2287,37.3976,37.7228,44574863
2023-02-23,38.2922,38.5133,37.8064,38.2922,38766934
2023-02-24,37.7274,38.2965,37.5104,38.2423,41504742
2023-02-27,38.3191,38.521,38.039,38.3553,33955328
2023-02-28,38.7437,38.7573,37.7725,37.8041,42070211
2023-03-01,37.8358,38.7437,37.6958,38.5495,41058843
2023-03-02,38.4818,39.0329,38.3598,38.8883,36311441
2023-03-03,38.423,39.611,38.396,39.4168,56091781
2023-03-06,39.1999,39.4981,39.0396,39.4348,37521647
2023-03-07,39.1999,39.2998,38.6466,38.7483,40955263
2023-03-08,38.5766,39.0689,37.9817,38.3509,43610329
2023-03-09,38.5722,39.1143,37.7973,37.8087,41937907
2023-03-10,37.8087,38.3417,37.1086,37.3254,62677264
2023-03-13,36.3723,37.2193,35.7353,36.5665,92233572
2023-03-14,36.5619,37.75,36.2751,36.928,67593661
2023-03-15,35.5727,35.8437,34.4366,34.9447,127676266
2023-03-16,34.1768,35.4145,34.039,35.3243,98295729
2023-03-17,35.121,35.4123,34.484,34.7687,74550657
2023-03-20,34.7347,35.6929,34.7347,35.4649,57279714
2023-03-21,36.195,36.8044,36.0856,36.6926,65412053
2023-03-22,36.7154,36.8844,35.8848,35.9122,53906462
2023-03-23,36.1084,36.4211,35.0724,35.4146,54209716
2023-03-24,34.7117,35.6907,34.6,35.5516,45241256
2023-03-27,35.9258,36.5146,35.6383,36.3093,44063246
2023-03-28,36.1039,37.0303,36.0901,36.8707,35708086
2023-03-29,37.2359,37.4207,36.9939,37.3819,39660297
2023-03-30,37.6922,37.747,37.3271,37.5461,30081952
2023-03-31,37.642,37.868,37.503,37.8063,35377201
2023-04-03,39.3993,39.7735,39.1938,39.5179,68413358
2023-04-04,39.6367,39.6869,38.4546,38.8014,54074703
2023-04-05,38.8973,39.3855,38.5731,39.3855,44423009
2023-04-06,39.3264,39.3664,38.7078,38.7877,36564544
2023-04-10,38.9337,39.5454,38.9337,39.0981,29552295
2023-04-11,39.3172,39.7143,39.0933,39.4677,28016326
2023-04-12,39.7416,39.8237,39.3765,39.4952,36516143
2023-04-13,39.4358,39.842,39.3399,39.7416,34380198
2023-04-14,39.7964,40.0469,39.5819,39.8148,25808991
2023-04-17,39.6824,39.8466,39.2076,39.3445,26030083
2023-04-18,39.2533,39.6001,39.057,39.4997,26831441
2023-04-19,39.1437,39.3948,38.9291,39.3628,37514957
2023-04-20,38.8151,39.0251,38.5412,39.0159,33297582
2023-04-21,39.1574,39.1757,38.6142,38.7877,36979746
2023-04-24,38.6645,39.5636,38.6508,39.3811,27662138
